PSF_CUIndex,NuSEDS_FULL_CU_IN,Comments
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
26,,
27,,
28,,
29,,
30,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
5,,
6,,
8,,
CK-001,CK-1,
CK-002,CK-2,
CK-003,CK-3,
CK-004,CK-4,
CK-005,CK-5,
CK-006,CK-6,
CK-007,CK-7,
CK-008,CK-8,
CK-009,CK-9,
CK-010,CK-10,
CK-011,CK-11,
CK-012,CK-12,
CK-013,CK-13,
CK-014,CK-14,
CK-015,CK-15,
CK-016,CK-16,
CK-017,CK-17,
CK-018,CK-18,
CK-019,CK-19,
CK-020,CK-20,
CK-021,CK-21,
CK-022,CK-22,
CK-023,CK-23,
CK-025,CK-25,
CK-027,CK-27,
CK-028,CK-28,
CK-029,CK-29,
CK-031,CK-31,
CK-032,CK-32,
CK-033,CK-33,
CK-034,CK-34,
CK-035,CK-35,
,CK-36,"Could this be the ""36"" without reference?"
,CK-37,
,CK-38,
,CK-39,
,CK-40,
,CK-41,
,CK-42,
CK-043,CK-43,
CK-044,CK-44,
,CK-45,
,CK-46,
,CK-48,
,CK-49,
,CK-50,
,CK-51,
,CK-53,
,CK-54,
,CK-55,
,CK-56,
,CK-57,
,CK-58,
CK-059,,
CK-060,CK-60,
CK-061,CK-61,
CK-062,,
CK-063,CK-63,
CK-064,CK-64,
CK-065,CK-65,
CK-066,,
CK-067,CK-67,
CK-068,CK-68,
CK-069,CK-69,
CK-070,,
CK-071,CK-71,
CK-072,CK-72,
CK-073,CK-73,
CK-074,CK-74,
CK-075,CK-75,
CK-076,CK-76,
CK-077,,
CK-078,CK-78,
CK-079,,
,CK-80,
,CK-81,
CK-082,CK-82,
CK-083,CK-83,
,CK-9002,
,CK-9004,
,CK-9005,
,CK-9006,
,CK-9007,
CK-9008,CK-9008,
CM-002,CM-2,
CM-003,CM-3,
CM-004,CM-4,
CM-005,CM-5,
CM-006,CM-6,
CM-007,CM-7,
CM-008,CM-8,
CM-009,CM-9,
CM-010,CM-10,
CM-011,CM-11,
,CM-12,
,CM-13,
,CM-14,
,CM-15,
,CM-16,
,CM-17,
,CM-18,
,CM-19,
,CM-20,
CM-021,CM-21,
CM-022,CM-22,
CM-023,CM-23,
CM-024,CM-24,
CM-025,CM-25,
,CM-26,
,CM-27,
,CM-28,
,CM-30,
,CM-31,
,CM-32,
CM-033,,
CM-034,,
CM-035,,
CM-036,,
CM-037,,
CM-038,CM-38,
CM-039,,
CM-040,,
CM-042,CM-42,
CM-043,CM-43,
CM-044,CM-44,
CM-045,CM-45,
CM-046,CM-46,
CM-048,,
,CM-9004,
CO-001,CO-1,
CO-004,CO-4,
CO-005,CO-5,
CO-007,CO-7,
CO-008,CO-8,
CO-009,CO-9,
CO-010,CO-10,
CO-011,CO-11,
CO-012,CO-12,
CO-013,CO-13,
CO-014,CO-14,
CO-015,CO-15,
CO-016,CO-16,
CO-017,CO-17,
CO-018,CO-18,
CO-019,CO-19,
,CO-20,
,CO-21,
,CO-22,
CO-023,CO-23,
CO-024,CO-24,
CO-025,CO-25,
,CO-26,
,CO-27,
,CO-29,
,CO-30,
,CO-31,
,CO-32,
,CO-33,
,CO-34,
,CO-35,
,CO-36,
,CO-37,
CO-038,,
CO-039,CO-39,
CO-040,,
CO-041,CO-41,
CO-042,,
CO-043,,
CO-044,,
CO-045,CO-45,
CO-046,,
CO-047,CO-47,
