"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"1","Chinook","Fraser","CK-10",310,212.375,216.5,224.924173734481,265.433333333333,264,254.528812706901,277,20,1
"2","Chinook","Fraser","CK-11",311,216.75,217,246.814554961789,331.833333333333,309.333333333333,272.995249266862,248,15,1
"3","Chinook","Fraser","CK-12",312,218,221.125,225.360924315224,264.5,259,249.54277190588,449,36,1
"4","Chinook","Fraser","CK-13",313,232.588235294118,232.588235294118,256.074268419489,307.80487804878,307.80487804878,298.287799598775,145,4,1
"5","Chinook","Fraser","CK-14",314,233.323529411765,233.323529411765,241.838235294118,298.5,298.5,285.847870733917,93,4,1
"6","Chinook","Fraser","CK-15",315,243.705882352941,243.705882352941,250.674369747899,304.205882352941,304.205882352941,297.600840336134,55,3,1
"7","Chinook","Fraser","CK-16",316,249.6,249.6,253.689333333333,286.173076923077,286.173076923077,284.103846153846,33,3,1
"8","Chinook","Fraser","CK-17",317,216.675675675676,216.675675675676,229.330647133225,278.5,276,264.729870251676,242,9,1
"9","Chinook","Fraser","CK-18",318,217.111111111111,217.111111111111,232.126666666667,309,269,263.11512605042,74,6,1
"10","Chinook","Fraser","CK-19",319,234.3125,234.3125,246.556232864358,289.116279069767,289.116279069767,274.489776266999,202,7,1
"11","Chinook","Fraser","CK-2",302,288.5,288.5,288.5,370.5,370.5,363.5,1,3,2
"12","Chinook","Vancouver Island & Mainland Inlets","CK-20",320,191.897435897436,197.8,235.829711347224,350,312.333333333333,273.41768879944,371,29,1
"13","Chinook","Vancouver Island & Mainland Inlets","CK-21",321,291.75,291.75,291.75,328.62962962963,328.62962962963,328.62962962963,27,1,1
"14","Chinook","Vancouver Island & Mainland Inlets","CK-22",322,241.916666666667,241.916666666667,261.169047619048,331.5,331.5,315.411038961039,65,3,1
"15","Chinook","Vancouver Island & Mainland Inlets","CK-25",324,257,257,269.291891891892,327.25,327.25,306.381531531532,44,3,1
"16","Chinook","Vancouver Island & Mainland Inlets","CK-27",325,152.615384615385,152.615384615385,259.021089754515,319.5,308.441860465116,305.463089891954,164,12,1
"17","Chinook","Vancouver Island & Mainland Inlets","CK-28",326,123.6,174.454545454545,218.522461605662,314.357142857143,288,265.816438648401,434,23,1
"18","Chinook","Vancouver Island & Mainland Inlets","CK-29",327,165.975,227.5,258.185608294244,312.962121212121,312.962121212121,294.025123050106,272,14,1
"19","Chinook","Fraser","CK-3",303,284.939393939394,284.939393939394,284.939393939394,341.1,341.1,341.1,33,1,1
"20","Chinook","Vancouver Island & Mainland Inlets","CK-31",328,245.47619047619,254,279.266471959127,341.5,325.666666666667,312.043900333995,839,54,1
"21","Chinook","Vancouver Island & Mainland Inlets","CK-32",329,227,248.189189189189,257.260383099374,314,299.375,293.466111445125,792,50,1
"22","Chinook","Vancouver Island & Mainland Inlets","CK-33",330,218,225.916666666667,243.535757575758,370.5,323.166666666667,280.358025819023,126,16,1
"23","Chinook","Vancouver Island & Mainland Inlets","CK-34",331,226.714285714286,226.714285714286,227.510989010989,266.923076923077,266.923076923077,262.854395604396,67,2,1
"24","Chinook","Vancouver Island & Mainland Inlets","CK-35",332,194.680555555556,194.680555555556,194.680555555556,264.957142857143,264.957142857143,264.957142857143,35,1,1
"25","Chinook","Central Coast","CK-36",509,252.904761904762,252.904761904762,252.904761904762,295.144444444444,295.144444444444,295.144444444444,42,1,1
"26","Chinook","Central Coast","CK-37",510,215.647058823529,218.056818181818,228.459642216194,278.388888888889,276.690476190476,265.276736903107,243,12,1
"27","Chinook","Central Coast","CK-38",511,259.317073170732,259.317073170732,259.317073170732,322.475609756098,322.475609756098,322.475609756098,41,1,1
"28","Chinook","Central Coast","CK-39",512,223.75,223.75,236.197728129713,294,294,277.66452991453,56,6,1
"29","Chinook","Fraser","CK-4",304,128.6,128.6,162.325,299,299,232.01,27,2,1
"30","Chinook","Central Coast","CK-40",513,221.130952380952,221.130952380952,221.130952380952,264.119047619048,264.119047619048,264.119047619048,42,1,1
"31","Chinook","Central Coast","CK-41",514,182,200.651162790698,226.880690862165,289,288.4,263.690303657695,100,12,1
"32","Chinook","Central Coast","CK-42",515,196,203.090909090909,218.437007130313,267.045454545455,261.35,252.257505934363,672,34,1
"33","Chinook","Haida Gwaii","CK-43",805,221.813953488372,221.813953488372,223.888372093023,319,319,288.706976744186,45,2,1
"34","Chinook","Haida Gwaii","CK-44",806,135.333333333333,135.333333333333,239.095238095238,319,319,266.52380952381,8,5,2
"35","Chinook","Skeena","CK-45",224,242.5,242.5,252.546428571429,282.307692307692,282.307692307692,280.283475783476,51,3,1
"36","Chinook","Skeena","CK-46",205,233.131578947368,233.131578947368,234.915307017544,273.545454545455,273.545454545455,272.413832100913,91,4,1
