"","POPULATION_CU","POPULATION","POP_ID","SPECIES","Y_LAT","X_LONGT","CU_NAME","CU_ACRO","FULL_CU_IN","cuid","IS_INDICATOR","REGION","year_start","year_final","START_SPAWN_DT","nYears_START_SPAWN_DT","nYearsOutside_START_SPAWN_DT","PEAK_SPAWN_DT","nYears_PEAK_SPAWN_DT","nYearsOutside_PEAK_SPAWN_DT","END_SPAWN_DT","nYears_END_SPAWN_DT","nYearsOutside_END_SPAWN_DT","DQ_START","DQ_PEAK","DQ_END"
"1","15 Mile Creek (Prince George) Early Stuart Sockeye_SEL-06-14","15 Mile Creek (Prince George) Early Stuart Sockeye",45590,"Sockeye",55.3317787962736,-125.767579519031,"TAKLA/TREMBLEUR-EARLY STUART TIMING","Takla/Trembleur-ESTU","SEL-06-14",732,"Y","Fraser",1949,2022,NA,0,0,221.647058823529,51,39,NA,0,0,3,1,3
"2","25 Mile Creek (Prince George) Early Stuart Sockeye_SEL-06-14","25 Mile Creek (Prince George) Early Stuart Sockeye",45587,"Sockeye",55.2676324190509,-125.717031541119,"TAKLA/TREMBLEUR-EARLY STUART TIMING","Takla/Trembleur-ESTU","SEL-06-14",732,"N","Fraser",1949,2022,241,3,1,224.630952380952,42,23,288.666666666667,3,1,2,1,2
"3","Aaltanhash River (Kitimat-Butedale) Chinook_CK-42","Aaltanhash River (Kitimat-Butedale) Chinook",50229,"Chinook",53.146559906844,-128.477472973342,"NORTH AND CENTRAL COAST-EARLY TIMING","NCC-stream","CK-42",515,"N","Central Coast",1953,2008,206.1875,16,16,227.59375,16,16,239.4375,16,12,3,3,2
"4","Aaltanhash River (Kitimat-Butedale) Chum_CM-20","Aaltanhash River (Kitimat-Butedale) Chum",50228,"Chum",53.146559906844,-128.477472973342,"DOUGLAS-GARDNER","DOUG","CM-20",508,"Y","Central Coast",1953,2022,234.491071428571,56,49,251.471698113208,53,42,268.398148148148,54,41,1,1,1
"5","Aaltanhash River (Kitimat-Butedale) Coho_CO-30","Aaltanhash River (Kitimat-Butedale) Coho",50226,"Coho",53.146559906844,-128.477472973342,"NORTHERN COASTAL STREAMS","NCS","CO-30",523,"Y","Central Coast",1970,2022,273.985294117647,34,28,288.026315789474,19,13,310.9375,16,12,1,1,2
"6","Aaltanhash River (Kitimat-Butedale) Pink_PKE-6","Aaltanhash River (Kitimat-Butedale) Pink",50227,"Pink",53.146559906844,-128.477472973342,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"Y","Central Coast",1954,2022,235.575757575758,33,30,253.790322580645,31,25,270.233333333333,30,23,2,1,1
"7","Aaltanhash River (Kitimat-Butedale) Pink_PKO-13","Aaltanhash River (Kitimat-Butedale) Pink",50227,"Pink",53.146559906844,-128.477472973342,"HECATE STRAIT-FJORDS","HStr-Fj","PKO-13",612,"Y","Central Coast",1953,2022,232.870967741935,31,26,252.092592592593,27,22,270.907407407407,27,21,1,1,1
"8","Aaltanhash River (Kitimat-Butedale) Sockeye_SER-16","Aaltanhash River (Kitimat-Butedale) Sockeye",50225,"Sockeye",53.146559906844,-128.477472973342,"NORTHERN COASTAL FJORDS","NCFj","SER-16",614,"N","Central Coast",1977,2022,NA,0,0,276.4,5,5,NA,0,0,3,3,3
"9","Ada Cove Creek (Bella Bella) Chum_CM-15","Ada Cove Creek (Bella Bella) Chum",3154,"Chum",52.0555371531114,-128.050549628469,"SPILLER-FITZ HUGH-BURKE","SpilFitz","CM-15",503,"N","Central Coast",2002,2022,257.083333333333,12,11,267.038461538462,13,12,293.666666666667,3,2,2,2,2
"10","Ada Cove Creek (Bella Bella) Coho_CO-27","Ada Cove Creek (Bella Bella) Coho",3169,"Coho",52.0555371531114,-128.050549628469,"HECATE STRAIT MAINLAND","HecLow+HStr","CO-27",520,"N","Central Coast",2002,2005,NA,0,0,NA,0,0,NA,0,0,3,3,3
