"region","SPECIES_QUALIFIED","SQ_CU_NAME","FULL_CU_IN","cuid","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","n.arrival","n.sd","n.peak"
"Haida Gwaii","CK","CK (P)HATCHERY EXCLUSION-PALLANT CREEK","CK-9002",NA,246.752989628782,284.6629639464,6.84513956396563,271.246554015095,298.079596831269,7,12,6
"Transboundary","CK","CK ALSEK","CK-67",1004,202.191732774296,230.205795515852,20.3630821865709,186.044124550984,275.016849418652,3,0,0
"Central Coast","CK","CK BELLA COOLA-BENTINCK","CK-39",512,152.408738073843,257.63270361892,13.3722013743372,231.423203399159,283.842134936465,61,120,62
"Fraser","CK","CK BOUNDARY BAY_FA_0.3","CK-2",302,298.595794415578,319.110264743753,20.8902522215224,278.165683535718,360.055396419377,3,4,1
"Central Coast","CK","CK DEAN RIVER","CK-40",513,167.159659698954,242.701574483766,10.9665356493749,221.207192318969,264.196048030341,33,84,43
"Central Coast","CK","CK DOCEE","CK-36",509,223.941874592791,274.738526247252,10.7630608216988,253.6427522927,295.834125761968,31,87,43
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x","CK-22",322,246.074085863437,289.061974576261,13.4364695242281,262.726501546708,315.397430768416,46,133,64
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3","CK-83",334,160.616673921161,281.860060684036,9.9127189217848,262.431063736145,301.289057918718,28,51,21
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",321,282.358366404715,309.164127358999,9.39862652500646,290.742775958587,327.585477733919,35,55,25
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x","CK-25",324,255.434866686614,283.59724334802,9.60723295633057,264.767316106916,302.427424116994,41,88,40
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NORTH_FA_0.x","CK-29",327,235.353276769183,272.218886719366,12.6631703045157,247.399146324499,297.038673292359,218,550,276
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x","CK-27",325,255.661652993748,284.87631305509,11.7815479683598,261.784507366926,307.968189161927,135,343,171
"Skeena","CK","CK ECSTALL","CK-46",205,214.904174926972,253.973286097738,9.47845616426432,235.395505948765,272.551064512246,52,186,86
"Fraser","CK","CK FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>","CK-9006",NA,135.324603565649,176.923744139098,19.955118100837,137.811861081238,216.035358797697,9,18,10
"Fraser","CK","CK FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>","CK-9008",NA,291.36014934899,313.771552890146,13.8651810775585,286.596083568447,340.94721340446,1,40,17
"Haida Gwaii","CK","CK HAIDA GWAII-EAST","CK-44",806,274.298947570117,289.259117107554,4.59178769574781,280.258802563969,298.259372478348,5,10,5
"Haida Gwaii","CK","CK HAIDA GWAII-NORTH","CK-43",805,150.616684402377,260.678730235541,12.4842811738752,236.209516424963,285.14799396793,32,64,32
"Vancouver Island & Mainland Inlets","CK","CK HOMATHKO_SU_x.x","CK-34",331,206.511418360331,246.954412610523,9.15334965568584,229.013879388822,264.895034392952,27,134,67
"Skeena","CK","CK KALUM-EARLY TIMING","CK-49",206,209.63218204827,241.386827941733,8.63485252928027,224.462485291985,258.311200935692,61,164,90
"Skeena","CK","CK KALUM-LATE TIMING","CK-50",207,216.62265215802,257.601307534586,9.51897379219618,238.944190242458,276.25835661504,53,127,63
"Vancouver Island & Mainland Inlets","CK","CK KLINAKLINI_SU_1.3","CK-35",332,177.663789330801,256.730635944689,17.2883466478739,222.845218134613,290.615572546873,25,37,22
"Skeena","CK","CK LAKELSE","CK-51",227,218.086160926606,247.238177329376,7.39512252759858,232.743942311613,261.732612536556,52,127,66
