"region","SPECIES_QUALIFIED","SQ_CU_NAME","FULL_CU_IN","cuid","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","n.arrival","n.sd","n.peak"
"Haida Gwaii","CK","CK (P)HATCHERY EXCLUSION-PALLANT CREEK","CK-9002",NA,246.752682293696,284.650996945773,6.84546373201746,271.234184760267,298.068039566397,7,12,6
"Transboundary","CK","CK ALSEK","CK-67",1004,202.19165100101,230.092153316721,19.8094763580537,186.307013105301,274.27159353621,3,0,0
"Central Coast","CK","CK BELLA COOLA-BENTINCK","CK-39",512,152.408559137238,257.632742020723,13.3720611201171,231.423461911237,283.841763323029,61,120,62
"Fraser","CK","CK BOUNDARY BAY_FA_0.3","CK-2",302,298.59353767328,319.109755953138,20.8906853316383,278.163604856133,360.054541342322,3,4,1
"Central Coast","CK","CK DEAN RIVER","CK-40",513,167.15991002064,242.701851756131,10.9665453376922,221.207286398953,264.196360226002,33,84,43
"Central Coast","CK","CK DOCEE","CK-36",509,223.942204208906,274.738471931382,10.7629670207883,253.643129383439,295.833947110576,31,87,43
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x","CK-22",322,246.073866281091,289.061925024533,13.4364968358526,262.726519985986,315.397432645126,46,133,64
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3","CK-83",334,160.616138957168,281.859272476881,9.91277183574947,262.430231240315,301.288288549404,28,51,21
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",321,282.358273957369,309.16347124524,9.39871257965619,290.742170341795,327.584798424942,35,55,25
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x","CK-25",324,255.434188889748,283.59688119851,9.60711263972459,264.766903976065,302.426853084262,41,88,40
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NORTH_FA_0.x","CK-29",327,235.141347056215,272.019116702718,12.6735307187715,247.178925157848,296.859297416039,216,546,274
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x","CK-27",325,255.661288817134,284.876240884777,11.781533310817,261.784432004435,307.968113036976,135,343,171
"Skeena","CK","CK ECSTALL","CK-46",205,214.904028400835,253.973274080935,9.47838142132571,235.395601683002,272.550882190167,52,186,86
"Fraser","CK","CK FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>","CK-9006",NA,135.378167328659,181.765793015544,18.5955363024646,145.318459855765,218.213108594836,13,56,26
"Fraser","CK","CK FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>","CK-9008",NA,291.358202350693,313.771752279596,13.8651581660254,286.596270276552,340.947186883627,1,40,17
"Fraser","CK","CK FRASER-MISCELLANEOUS<<BIN>>","CK-9004",NA,227.047825749396,298.097017753084,6.10573375843082,286.129822352489,310.064864383228,0,3,4
"Haida Gwaii","CK","CK HAIDA GWAII-EAST","CK-44",806,274.299058394332,239.215690512269,7.7487247735998,224.028480345222,254.403016020086,5,16,8
"Haida Gwaii","CK","CK HAIDA GWAII-NORTH","CK-43",805,150.143768563636,246.321604195825,12.4265781086529,221.965602346967,270.677672561692,33,90,44
"Vancouver Island & Mainland Inlets","CK","CK HOMATHKO_SU_x.x","CK-34",331,206.511330833228,246.954174681652,9.1533188403499,229.013715479734,264.894686967843,27,134,67
"Skeena","CK","CK KALUM-EARLY TIMING","CK-49",206,209.63203231704,241.386791867694,8.63492318750702,224.462304368465,258.311221830162,61,164,90
"Skeena","CK","CK KALUM-LATE TIMING","CK-50",207,216.62233411332,257.601195285438,9.51882646975049,238.944292244172,276.258125532238,53,127,63
"Vancouver Island & Mainland Inlets","CK","CK KLINAKLINI_SU_1.3","CK-35",332,168.273929953349,232.105497598011,17.9444443556094,196.934240593577,267.276718491091,39,71,39
"Skeena","CK","CK LAKELSE","CK-51",227,218.085984879203,247.238239200736,7.3950884216984,232.744015122628,261.732644334679,52,127,66
"Fraser","CK","CK LOWER FRASER RIVER_FA_0.3","CK-3",303,287.496298497734,313.197611668974,14.3243497230189,285.121885463817,341.273348799689,30,68,35
"Fraser","CK","CK LOWER FRASER RIVER_SP_1.3","CK-4",304,127.307741356047,172.628338637409,19.8226257853908,133.776082168779,211.481051400585,13,54,27
"Fraser","CK","CK LOWER FRASER RIVER_SU_1.3","CK-6",306,209.160584582391,268.139388288754,14.8674197881607,238.999202749923,297.279593450766,51,138,86
"Fraser","CK","CK LOWER FRASER RIVER-UPPER PITT_SU_1.3","CK-5",305,215.905543014744,239.884482660095,10.819542718395,218.678414884864,261.090911290109,20,68,34
"Skeena","CK","CK LOWER SKEENA","CK-48",210,215.856592945056,242.212798855028,7.45344431323428,227.604068892598,256.821515595852,244,545,298
"Fraser","CK","CK LOWER THOMPSON_SP_1.2","CK-17",317,206.625452766071,244.659649749039,9.50733916174014,226.025254870085,263.294010750039,177,490,258
"Fraser","CK","CK MARIA SLOUGH_SU_0.3","CK-7",307,262.987221180933,286.533734637454,11.2565585296828,264.470858336656,308.596582154582,28,78,41
"Fraser","CK","CK MIDDLE FRASER RIVER_SP_1.3","CK-10",310,214.541690140731,239.596377702102,7.41779708445746,225.057548230539,254.135234675861,243,571,363
"Fraser","CK","CK MIDDLE FRASER RIVER_SU_1.3","CK-11",311,232.478723283166,261.261908667389,7.26349887697204,247.025402227302,275.498379556815,214,504,355
"Fraser","CK","CK MIDDLE FRASER RIVER-PORTAGE_FA_1.3","CK-9",309,262.522504705226,287.983334147706,9.22937327714862,269.893878234042,306.072752869298,29,73,38
"Fraser","CK","CK MIDDLE FRASER-FRASER CANYON_SP_1.3","CK-8",308,244.850713209153,266.380167415603,8.05296464802723,250.596427876226,282.163990347584,28,74,39
"Skeena","CK","CK MIDDLE SKEENA-LARGE LAKES","CK-53",222,225.315373322392,255.891365645205,8.35634405284574,239.512872341387,272.26973277683,125,456,240
"Skeena","CK","CK MIDDLE SKEENA-MAINSTEM TRIBUTARIES","CK-54",217,212.169373344972,241.380634431921,7.60774833193876,226.469491083919,256.291906938505,204,487,242
"Central Coast","CK","CK NORTH AND CENTRAL COAST-EARLY TIMING","CK-42",515,180.772654787688,233.136482090748,9.08007889750682,215.339502120144,250.933477554218,556,1361,679
"Central Coast","CK","CK NORTH AND CENTRAL COAST-LATE TIMING","CK-41",514,199.690158668458,239.122113156812,11.6341813734971,216.319050234111,261.925007886259,68,211,100
"Fraser","CK","CK NORTH THOMPSON_SP_1.3","CK-18",318,217.06850250555,238.262480704072,7.58702706789421,223.391991243169,253.133068335232,60,157,96
