"region","SPECIES_QUALIFIED","SQ_CU_NAME","FULL_CU_IN","cuid","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","n.arrival","n.sd","n.peak"
"Haida Gwaii","CK","CK (P)HATCHERY EXCLUSION-PALLANT CREEK","CK-9002",NA,246.752922212006,284.651243421915,6.84513108267389,271.23484994877,298.068097505154,7,12,6
"Transboundary","CK","CK ALSEK","CK-67",1004,202.192144102821,229.878401147782,19.7911769823298,186.171781701335,273.739434397318,3,0,0
"Central Coast","CK","CK BELLA COOLA-BENTINCK","CK-39",512,152.408483017976,257.632621314772,13.3722079700136,231.423119740857,283.84240822035,61,120,62
"Fraser","CK","CK BOUNDARY BAY_FA_0.3","CK-2",302,298.595592864263,319.108892039168,20.8908827993329,278.163345456466,360.054684503145,3,4,1
"Central Coast","CK","CK DEAN RIVER","CK-40",513,167.15955912214,242.701829925288,10.9664777630422,221.207611262056,264.196202667095,33,84,43
"Central Coast","CK","CK DOCEE","CK-36",509,223.941899671991,274.73861080056,10.7630659149767,253.6432655308,295.834204301654,31,87,43
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x","CK-22",322,246.074204384429,289.061945453969,13.4364330908821,262.726497785215,315.397460082639,46,133,64
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3","CK-83",334,160.615812591758,281.859401846744,9.91286608986122,262.429994699752,301.288546238143,28,51,21
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",321,282.358048855507,309.163590446012,9.39868592606283,290.742138486581,327.585115007979,35,55,25
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x","CK-25",324,255.434423258499,283.596873398477,9.60709447184633,264.766880976246,302.426757948429,41,88,40
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NORTH_FA_0.x","CK-29",327,235.35326170431,272.218814529044,12.663169683746,247.398983469922,297.038550239453,218,550,276
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-QUALICUM AND PUNTLEDGE_FA_0.x","CK-27",325,255.661733757743,284.876264988751,11.781542550065,261.784481286943,307.968029284152,135,343,171
"Skeena","CK","CK ECSTALL","CK-46",205,214.904141205729,253.97325424661,9.47843244321187,235.395535929814,272.550904397771,52,186,86
"Fraser","CK","CK FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>","CK-9006",NA,135.378169805936,181.766018598906,18.5954746619768,145.31885895119,218.213159406809,13,56,26
"Fraser","CK","CK FRASER-HARRISON FALL TRANSPLANT_FA_0.3<<BIN>>","CK-9008",NA,291.354367143587,313.771664146478,13.864948523315,286.596324724745,340.947168124795,1,40,17
"Fraser","CK","CK FRASER-MISCELLANEOUS<<BIN>>","CK-9004",NA,227.037382538757,298.096664878438,6.10630285222669,286.128156971357,310.064441902902,0,3,4
"Haida Gwaii","CK","CK HAIDA GWAII-EAST","CK-44",806,274.299349369514,239.215361964262,7.7491673709813,224.027068532673,254.403919188005,5,16,8
"Haida Gwaii","CK","CK HAIDA GWAII-NORTH","CK-43",805,150.143205854943,246.321784488516,12.4265289507248,221.965928385897,270.677866134405,33,90,44
"Vancouver Island & Mainland Inlets","CK","CK HOMATHKO_SU_x.x","CK-34",331,206.511238007774,246.954081368998,9.1532495572882,229.013647199881,264.894686402682,27,134,67
"Skeena","CK","CK KALUM-EARLY TIMING","CK-49",206,209.632349036284,241.386706326058,8.63490673683817,224.462402469466,258.311037934016,61,164,90
"Skeena","CK","CK KALUM-LATE TIMING","CK-50",207,216.622184183112,257.601115429309,9.51897226223267,238.943919014071,276.258377867335,53,127,63
"Vancouver Island & Mainland Inlets","CK","CK KLINAKLINI_SU_1.3","CK-35",332,168.273839909807,232.105369615955,17.9444405043867,196.934224293247,267.276397776387,39,71,39
"Skeena","CK","CK LAKELSE","CK-51",227,218.086074230497,247.238191953157,7.39501276324996,232.743964327861,261.7324963079,52,127,66
"Fraser","CK","CK LOWER FRASER RIVER_FA_0.3","CK-3",303,287.496365859078,313.197544942751,14.3242399415338,285.121977146815,341.273065598181,30,68,35
"Fraser","CK","CK LOWER FRASER RIVER_SP_1.3","CK-4",304,127.308193762532,172.628519732486,19.8226672124706,133.775943592121,211.480885374335,13,54,27
"Fraser","CK","CK LOWER FRASER RIVER_SU_1.3","CK-6",306,209.160365820085,268.139376035918,14.8675153604175,238.999131194987,297.279715671326,51,138,86
"Fraser","CK","CK LOWER FRASER RIVER-UPPER PITT_SU_1.3","CK-5",305,215.905724871795,239.884678835607,10.8194801094736,218.678343058344,261.091008366847,20,68,34
"Skeena","CK","CK LOWER SKEENA","CK-48",210,215.856533839329,242.212745307554,7.45345383674985,227.603951820472,256.821526068257,244,545,298
"Fraser","CK","CK LOWER THOMPSON_SP_1.2","CK-17",317,206.625463856763,244.659666946769,9.50735584120287,226.025282030417,263.294082368014,177,490,258
"Fraser","CK","CK MARIA SLOUGH_SU_0.3","CK-7",307,262.986909542026,286.533708377323,11.2566326352668,264.470848143603,308.596844320469,28,78,41
"Fraser","CK","CK MIDDLE FRASER RIVER_SP_1.3","CK-10",310,214.541611971405,239.596355844772,7.41774483423352,225.057544750647,254.135133629667,243,571,363
"Fraser","CK","CK MIDDLE FRASER RIVER_SU_1.3","CK-11",311,232.47865563857,261.261911159749,7.26348012908345,247.025471109549,275.498315474971,214,504,355
"Fraser","CK","CK MIDDLE FRASER RIVER-PORTAGE_FA_1.3","CK-9",309,262.52240631118,287.983222697805,9.22925294164326,269.893994362607,306.072622815196,29,73,38
"Fraser","CK","CK MIDDLE FRASER-FRASER CANYON_SP_1.3","CK-8",308,244.850663305446,266.380108670282,8.05297638559698,250.596226322971,282.164002740052,28,74,39
"Skeena","CK","CK MIDDLE SKEENA-LARGE LAKES","CK-53",222,225.315245335542,255.891398416843,8.35634801923852,239.512974475826,272.269746589684,125,456,240
"Skeena","CK","CK MIDDLE SKEENA-MAINSTEM TRIBUTARIES","CK-54",217,212.169493506905,241.3806242506,7.60773162050602,226.469443575559,256.291779608108,204,487,242
"Central Coast","CK","CK NORTH AND CENTRAL COAST-EARLY TIMING","CK-42",515,180.772664479009,233.136480097188,9.0800608561613,215.339558143581,250.933412240204,556,1361,679
"Central Coast","CK","CK NORTH AND CENTRAL COAST-LATE TIMING","CK-41",514,199.690107184675,239.122166803223,11.6341974039151,216.318998715348,261.925293604134,68,211,100
"Fraser","CK","CK NORTH THOMPSON_SP_1.3","CK-18",318,217.068242760016,238.262631499223,7.58701642864165,223.392055858924,253.133309938244,60,157,96
"Fraser","CK","CK NORTH THOMPSON_SU_1.3","CK-19",319,228.911902953577,261.096098378171,7.39675289250331,246.598393327322,275.593770715038,159,415,241
"Nass","CK","CK PORTLAND SOUND-OBSERVATORY INLET-LOWER NASS","CK-57",401,191.140575494984,225.775786022706,8.4323327546104,209.248421880321,242.303101427754,157,448,238
"Central Coast","CK","CK RIVERS INLET","CK-37",510,212.228938664564,247.217547087177,9.87465586224586,227.86323735887,266.571888798042,187,503,258
"Fraser","CK","CK SHUSWAP RIVER_SU_0.3","CK-15",315,202.826366380164,277.143238348387,12.1523971305323,253.324610728894,300.962003014182,36,110,67
