"region","SPECIES_QUALIFIED","SQ_CU_NAME","FULL_CU_IN","cuid","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","n.arrival","n.sd","n.peak"
"Haida Gwaii","CK","CK (P)HATCHERY EXCLUSION-PALLANT CREEK","CK-9002",NA,246.753221780463,284.663205150233,6.84535599657539,271.24603910534,298.080452698167,7,12,6
"Transboundary","CK","CK ALSEK","CK-67",1004,202.191722919087,229.98456232595,20.2058294433982,185.612510526032,274.27490072657,3,0,0
"Central Coast","CK","CK BELLA COOLA-BENTINCK","CK-39",512,153.37776728215,257.177138321796,13.4017022215412,230.909816201892,283.444495199332,58,114,59
"Fraser","CK","CK BOUNDARY BAY_FA_0.3","CK-2",302,298.59550744644,319.114007313039,20.8897805990946,278.169845244585,360.057145107902,3,4,1
"Central Coast","CK","CK DEAN RIVER","CK-40",513,167.409056310417,250.243570698796,10.8307840835447,229.015149230959,271.471840463652,30,68,35
"Central Coast","CK","CK DOCEE","CK-36",509,223.696527118878,281.417193047429,11.7179044821497,258.450042703158,304.384513600975,29,53,27
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-COWICHAN AND KOKSILAH_FA_0.x","CK-22",322,247.80448576343,299.462831125795,10.4863802152544,278.909519692292,320.016265517153,44,67,33
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GEORGIA STRAIT_SU_0.3","CK-83",334,160.617079173643,281.860333781937,9.9127205357906,262.431251601798,301.289280177222,28,51,21
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-GOLDSTREAM_FA_0.x","CK-21",321,282.77433960232,311.604196253855,9.67888855446083,292.63356187942,330.575012060159,33,47,22
"Vancouver Island & Mainland Inlets","CK","CK EAST VANCOUVER ISLAND-NANAIMO AND CHEMAINUS_FA_0.x","CK-25",324,255.3374251608,286.055577343285,10.9695346336064,264.555172186256,307.555934435506,38,66,32
