"region","species","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","end_spawn_mean","end_spawn_mode"
"Central Coast","Chinook",193.822944377304,255.189751755898,12.2593881247411,231.138405762092,279.213602026899,280.747227830885,275.028985372249
"Central Coast","Chum",237.855603095921,266.673909954329,11.2518138110136,244.656371709613,288.756844028239,289.844108992238,287.872308460838
"Central Coast","Coho",248.688678632058,296.188284887861,13.6292589820832,269.46952605115,322.895144522533,324.625563392608,319.044278287656
"Central Coast","Pink",230.996974717604,254.204679400915,9.88093278916799,234.783467291437,273.538211367723,275.76602419113,271.003486584443
"Central Coast","SockeyeLake",199.001066959779,269.717966059933,8.21380402703866,253.61635753977,285.822079992645,285.932603194443,285.824451955232
"Central Coast","SockeyeRiver",225.99062600566,264.869553729541,9.69186237003368,245.852117746502,283.864312889775,286.327948105792,280.368737374824
"Columbia","Chinook",NA,NA,NA,NA,NA,NA,NA
"Columbia","Chum",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink",NA,NA,NA,NA,NA,NA,NA
"Columbia","SockeyeLake",253.44231469571,295.424419299867,15.3295746007055,265.390192472743,325.493010475737,333.482313804883,311.69920410015
"Columbia","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
"Fraser","Chinook",227.356363909287,263.083136883565,10.8372435723375,241.864771767466,284.336736735348,284.844269399914,284.834338967463
"Fraser","Chum",283.741278254555,308.064307725281,14.5027667074148,279.66063822704,336.473828282276,341.171559646733,327.447578786529
"Fraser","Coho",289.582480415965,322.525334734746,12.5005432579046,298.02408806751,347.025292664318,348.396443234366,344.259374494125
"Fraser","Pink",266.762474582887,287.158389016366,12.8803633937975,261.890668083217,312.486910557538,319.356395885426,302.051084821346
"Fraser","SockeyeLake",239.613834759976,263.323193250481,7.75499912770894,248.141716434267,278.532617042145,278.866911492893,277.612187919737
"Fraser","SockeyeRiver",273.087369515263,284.466346976792,12.4265236274207,260.085457153259,308.826183085593,315.52345029777,299.316342890958
"Haida Gwaii","Chinook",223.883844120364,278.175339719888,9.44032730009967,259.666303411276,296.654762244732,299.255162939962,292.268147917549
"Haida Gwaii","Chum",255.337034636314,275.901509664654,8.92457585733252,258.416657419962,293.427058792682,294.999937796031,291.323715985311
"Haida Gwaii","Coho",261.858966309133,291.254467413508,11.140277739641,269.38408572197,313.025358065008,316.070676863788,308.211155789443
"Haida Gwaii","Pink",238.151950064908,259.279870475259,8.28412474798266,243.029393518849,275.491325815304,276.720699143905,272.536711011002
"Haida Gwaii","SockeyeLake",152.013374923426,256.02984642552,8.23604878092596,239.871288052323,272.178524995977,272.962659449099,272.119216821243
"Haida Gwaii","SockeyeRiver",236.311728531636,247.948143384156,7.75206256064868,232.756410268848,263.137977497293,265.104791382396,260.405469797138
"Nass","Chinook",196.479388758707,234.249521678098,12.4100708525358,209.89940009562,258.635017935943,263.286624652955,253.173560213602
"Nass","Chum",221.46308681325,245.219387818453,10.8234732692797,224.005375521837,266.455554218068,269.21640055932,259.637154600597
"Nass","Coho",251.018393924594,292.71927934395,13.5849964811431,266.086128589276,319.400376223286,322.890620440157,313.170525483833
"Nass","Pink",228.718213020578,246.922607267599,7.78953249780054,231.65142449043,262.209424046379,264.098200472946,258.50209021564
"Nass","SockeyeLake",209.811774169605,241.383796990996,12.2696543427891,217.347993472851,265.444226180062,267.190349449041,264.380517589715
"Nass","SockeyeRiver",224.969936982275,246.011711229947,11.2811023341973,223.871297368648,268.170914305284,272.026929654238,263.558292821241
"Skeena","Chinook",216.140606371162,245.914582219295,8.25987530486554,229.730409468118,262.089516428233,262.733057544114,259.69034203341
"Skeena","Chum",232.170487738292,252.32228492328,9.32240813846887,234.02761199491,270.572406412434,273.079074309216,266.422917930825
"Skeena","Coho",262.691984157056,295.774555174457,10.8968086281973,274.403481975034,317.155450020106,319.487505630873,311.483208222821
"Skeena","Pink",225.829758538621,249.001777734667,8.58010945357406,232.131813350092,265.819548621658,267.29073962484,262.700105306538
"Skeena","SockeyeLake",223.781287372577,255.370624164224,8.85383807146797,238.019464617125,272.719984869752,273.053485634101,271.991156853609
"Skeena","SockeyeRiver",229.808450560047,252.755990106574,8.7306489497236,235.664342639874,269.937877085823,273.046101590966,265.677814950317
"Transboundary","Chinook",159.766160277543,230.092492855902,20.0324775585172,186.647412465702,273.504006670316,294.554299594003,257.968843363673
"Transboundary","Chum",NA,NA,NA,NA,NA,NA,NA
"Transboundary","Coho",183.131429252345,229.795167018502,20.0249749369852,186.227826670486,273.149625905374,294.317853692007,257.65694060849
"Transboundary","Pink",NA,NA,NA,NA,NA,NA,NA
"Transboundary","SockeyeLake",235.485439944564,229.746822670577,20.2073293207404,186.456526443092,273.475367973702,294.790956732908,254.910216299525
"Transboundary","SockeyeRiver",203.001820059889,229.774837512382,20.0476162488372,186.62067134328,273.000819738302,293.563228122284,266.425242801628
"Vancouver Island & Mainland Inlets","Chinook",237.286694412545,279.390481330638,10.8827033415212,258.050710489311,300.720038746799,301.375881053572,299.109582853051
"Vancouver Island & Mainland Inlets","Chum",270.925335187538,297.394197667256,10.7897652686108,276.261051807178,318.529351895974,319.62992692037,314.996212244356
"Vancouver Island & Mainland Inlets","Coho",267.831354640283,304.088904427177,14.3574759397101,275.959624864271,332.222077179953,333.581090755861,331.717008123039
"Vancouver Island & Mainland Inlets","Pink",235.666371183831,261.919640818645,9.58598413762619,243.13393132685,280.72559037612,281.497074714542,281.386409671782
"Vancouver Island & Mainland Inlets","SockeyeLake",200.322201138111,271.420346832668,8.28930749182429,255.169818460222,287.669804397462,287.883451737799,287.054040824549
"Vancouver Island & Mainland Inlets","SockeyeRiver",244.857946725469,272.064399730554,10.0097290459656,252.447604529866,291.652292252276,293.791070356689,288.457312814899
"Yukon","Chinook",226.688238627905,230.000717346754,19.8038107606707,187.526133004555,272.303182411045,294.06956481629,252.298896151301
"Yukon","Chum",239.9650431073,230.041130745263,19.6120961651138,186.987194731012,272.389614287796,293.998695877077,254.792127304165
"Yukon","Coho",NA,NA,NA,NA,NA,NA,NA
"Yukon","Pink",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeLake",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
