"region","species","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","end_spawn_mean","end_spawn_mode"
"AlaskaTransboundary","Chinook",159.764989650251,229.951931274469,20.3558417783232,186.5648971984,273.951408676758,294.917665633929,253.016212064888
"AlaskaTransboundary","Chum",NA,NA,NA,NA,NA,NA,NA
"AlaskaTransboundary","Coho",183.12081369072,229.821419875517,19.9781354209598,186.395791051942,273.248079938659,294.24164491027,259.549248532862
"AlaskaTransboundary","Pink",NA,NA,NA,NA,NA,NA,NA
"AlaskaTransboundary","SockeyeLake",235.496176593593,230.45464022384,20.0228275309819,187.443728512936,274.178321495332,294.625930466833,256.410159195725
"AlaskaTransboundary","SockeyeRiver",202.991289683927,229.811044344468,19.7113843237295,186.741137009179,272.90027718016,293.495821992779,256.918437099691
"Central Coast","Chinook",193.709717468426,253.25369214091,12.5666783700868,228.611389141913,277.871672475531,279.588149691959,275.996381785035
"Central Coast","Chum",237.900449112435,266.72486572274,11.1759802275306,244.815630266282,288.608322602863,289.727176348602,286.003018545308
"Central Coast","Coho",248.383982447174,288.591769015096,12.9074449555999,263.294044657382,313.907439521193,315.564281461076,311.552089688032
"Central Coast","Pink",231.121784843348,254.137168138126,9.94843555351595,234.65545515549,273.651625344059,275.526861625101,270.950996469537
"Central Coast","SockeyeLake",197.741349495801,241.111826622536,8.12919777674285,225.167633266293,257.041434487689,257.128641937639,256.962300192144
"Central Coast","SockeyeRiver",224.988228387212,244.94569334087,10.3359450539696,224.669565203248,265.176062416135,267.867096988504,261.318196512694
"Columbia","Chinook",NA,NA,NA,NA,NA,NA,NA
"Columbia","Chum",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink",NA,NA,NA,NA,NA,NA,NA
"Columbia","SockeyeLake",253.435398516617,295.416768637257,15.4160419901852,265.144413813268,325.531206614277,333.893447615158,312.272807284109
"Columbia","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
"Fraser","Chinook",227.048770478995,262.734922028327,10.570706922833,242.027523193748,283.44679770758,283.892880764644,282.096387992626
"Fraser","Chum",283.526979595664,307.449542940895,14.2551128125671,279.440649903843,335.403224549693,340.234784492548,329.761711592813
"Fraser","Coho",289.577740870385,322.479996330924,12.5429842717942,297.92143493611,347.093837701117,348.468470097811,345.407413195767
"Fraser","Pink",266.729718752551,287.181155676322,12.5803184878681,262.53947175984,311.816299654681,319.04513177939,305.209329587471
"Fraser","SockeyeLake",239.268395687948,263.053232070329,7.70907470228198,247.938350190016,278.169747399594,278.481069045936,278.569336140668
"Fraser","SockeyeRiver",273.074989234865,284.425039340275,12.7116634337949,259.508910456186,309.409457785131,316.545116687767,301.668701667368
"HaidaGwaii","Chinook",223.741665286359,256.708826521041,10.6858511470885,235.736130927306,277.668291786265,280.547116182067,275.928576524591
"HaidaGwaii","Chum",255.37692974751,275.926908235074,8.93043707674213,258.419692913128,293.421088251679,295.148269344484,289.726197875295
"HaidaGwaii","Coho",261.8685944738,291.208473201266,11.2706500004678,269.087620482192,313.301976555613,316.187727039656,308.005423997525
"HaidaGwaii","Pink",237.947523444291,258.946050497135,8.26964580368783,242.738715850442,275.165187083375,276.363373701721,272.74319272955
"HaidaGwaii","SockeyeLake",152.111753296988,232.350640150901,8.82871636589232,215.039137302646,249.664077093829,250.583247188591,249.540005345698
"HaidaGwaii","SockeyeRiver",236.30941171437,232.334911048005,8.10227657258078,216.47172729938,248.194587181987,250.341731901612,246.551059470142
"Nass","Chinook",196.381505157663,234.265104313994,12.450283341614,209.879764467137,258.69369622815,263.116974051894,251.717883426716
"Nass","Chum",221.431639032951,245.217320550396,10.8843776473529,223.910375032871,266.531454916292,269.443728163788,261.328407861787
"Nass","Coho",250.966365188385,292.402496838737,13.4929962628709,265.967712074232,318.83165883586,322.079270865222,313.351074588386
"Nass","Pink",228.662136942051,246.919986736406,7.70041592498825,231.83479333324,262.046243781255,264.08299366621,258.858392529185
"Nass","SockeyeLake",209.749637719057,241.35802684611,12.1390612145271,217.576382448222,265.128526675745,266.803424756139,262.998483716134
"Nass","SockeyeRiver",224.970639002485,246.029481738308,11.4644245187904,223.52554203979,268.548177861441,272.746884975658,263.565162643167
"Skeena","Chinook",216.136683219695,245.915065631737,8.23404050813835,229.76775435617,262.067926839031,262.714409852845,260.835453398514
"Skeena","Chum",232.181335232468,252.311593321276,9.27727473090225,234.132708767312,270.49760895699,272.866652081507,265.628699406555
"Skeena","Coho",262.795929650467,295.77157233326,10.8943105926946,274.455091559616,317.129113289105,319.573490362767,313.704882202991
"Skeena","Pink",225.792329829063,248.997468309304,8.56204330742018,232.219081736112,265.792806487285,267.215212305507,263.235260493443
"Skeena","SockeyeLake",223.821425728867,255.440334521663,8.81357629507234,238.167495281751,272.726345739097,273.09142813219,271.594876047697
"Skeena","SockeyeRiver",229.469663212795,252.681164189334,8.67614750836055,235.677927840523,269.712949387022,272.895521962753,265.230011717583
"Vancouver Island & Mainland Inlets","Chinook",236.538037171715,273.797682040617,10.9814814301746,252.262387826322,295.327802746837,295.986559786531,293.885024905862
"Vancouver Island & Mainland Inlets","Chum",270.920196520251,297.389897423212,10.838125643917,276.156711418294,318.617190374654,319.73188206519,315.306688768954
"Vancouver Island & Mainland Inlets","Coho",267.490901795815,302.16212451966,14.1780862858863,274.383201290519,329.940273548173,331.218618414361,325.851472561695
"Vancouver Island & Mainland Inlets","Pink",235.64178144516,261.909319052934,9.59298001414309,243.101712770736,280.724166666403,281.537658713458,280.388171977527
"Vancouver Island & Mainland Inlets","SockeyeLake",196.72324090371,244.252820568287,8.53833475355067,227.530254239394,260.996342371085,261.17182309897,260.008640138991
"Vancouver Island & Mainland Inlets","SockeyeRiver",241.390835055701,263.64963484087,10.440970601049,243.175124189248,284.109199215725,286.333318491464,281.583045755251
"Yukon","Chinook",226.661012315731,230.314842549955,20.3772503390294,186.499800884084,274.263902990868,296.401407506802,258.936363193829
"Yukon","Chum",239.981715151857,229.802131981923,19.8804291983393,186.842001494108,272.769257675709,294.871249286884,258.884165809781
"Yukon","Coho",NA,NA,NA,NA,NA,NA,NA
"Yukon","Pink",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeLake",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
