"region","species","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","end_spawn_mean","end_spawn_mode"
"Central Coast","Chinook",193.823736089795,255.186892908226,12.3238390715154,231.060419923077,279.329527708571,280.919767320625,277.508473873451
"Central Coast","Chum",237.859918539694,266.673493872597,11.2029714873473,244.706408740724,288.632802321536,289.754577091606,284.625358079981
"Central Coast","Coho",248.829952746662,288.760192015356,12.8475121777435,263.611310619125,313.937482183028,315.394031135886,310.849841492152
"Central Coast","Pink",230.99790365729,254.207571349683,10.0745533156286,234.461020428849,273.944751825467,275.848844980103,270.584686582841
"Central Coast","SockeyeLake",198.298354250144,249.524880916582,9.07361584508924,231.739644469317,267.308629633925,267.416061310854,267.021731817776
"Central Coast","SockeyeRiver",224.989713524298,245.662049577893,10.2623151424533,225.610495604733,265.743373302652,268.28662597664,262.716049309445
"Columbia","Chinook",NA,NA,NA,NA,NA,NA,NA
"Columbia","Chum",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink",NA,NA,NA,NA,NA,NA,NA
"Columbia","SockeyeLake",253.433352726756,295.418607369495,15.4519457724291,265.077868904438,325.641419050802,334.01065358212,313.161017395471
"Columbia","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
"Fraser","Chinook",227.048585186592,262.73414451816,10.5665516259537,242.039487354635,283.439514897429,283.877683913651,283.267292243217
"Fraser","Chum",283.530713674483,307.435964283865,14.2878007113823,279.401476881097,335.375738332234,340.421789954525,329.623358709127
"Fraser","Coho",289.58279210733,322.526156785936,12.3916017386936,298.22740955889,346.828765083863,348.228514343131,342.315151071126
"Fraser","Pink",266.729901651375,287.181738431149,12.5300923916338,262.572535792954,311.826297850988,318.647573999764,304.219219316229
"Fraser","SockeyeLake",239.26859393632,263.059531633815,7.69819854147768,247.961902861655,278.138542679374,278.477190435312,278.096468835985
"Fraser","SockeyeRiver",273.070417164782,284.426250566084,12.5811557689256,259.722174138239,309.076803712836,315.512026538456,299.664612796208
"Haida Gwaii","Chinook",223.736627179404,256.712673278577,10.7856787264622,235.56582956247,277.866405814577,280.527143902586,271.503425414992
"Haida Gwaii","Chum",255.334427907524,275.902725562255,8.78676879669313,258.676122302752,293.137311740578,294.713193564095,290.43851328836
"Haida Gwaii","Coho",261.843197977296,291.241081592238,11.062354675765,269.588882287691,312.951049685803,315.838122441018,306.196005412365
"Haida Gwaii","Pink",238.162220616854,259.278871158739,8.30329113823268,243.002955238129,275.55594545676,276.729380580671,272.393974484981
"Haida Gwaii","SockeyeLake",151.923970706738,254.308685197107,8.35060192235257,237.957606166417,270.684770561554,271.483866041741,267.973087036464
"Haida Gwaii","SockeyeRiver",236.31441039577,247.949879496692,7.80947622222968,232.619191609185,263.264365604789,265.238456192491,259.347593125793
"Nass","Chinook",196.472690812234,234.28794073321,12.4771127154985,209.896623752081,258.760475896605,262.737564984288,254.074209925288
"Nass","Chum",221.467450494549,245.228188818053,10.8076207158374,223.992771541799,266.377205380199,269.335156917777,262.349150522307
"Nass","Coho",251.026493770757,292.71835503828,13.5593614888287,266.158941522002,319.346387623809,322.777485063863,315.175918887964
"Nass","Pink",228.712786181084,246.913803031238,7.69283425264722,231.813055829861,262.021656037937,264.092939725743,260.113453126437
"Nass","SockeyeLake",209.813670933887,241.37382450625,12.133015583444,217.601849374049,265.157318692801,266.989438832399,262.667015705334
"Nass","SockeyeRiver",224.978686486573,246.015540240506,11.2883695173701,223.930314210635,268.227036389393,272.098855921675,262.494898872421
"Skeena","Chinook",216.133275074961,245.920130347826,8.23752542044344,229.781729736083,262.073168740485,262.646688672389,261.446487073294
"Skeena","Chum",232.149937480516,252.323368055744,9.43620063870165,233.8077238765,270.784491224745,273.356299390975,265.470652979601
"Skeena","Coho",262.694251460925,295.771582540338,10.9514760614531,274.269833846404,317.236831867978,319.712157954194,314.757593665454
"Skeena","Pink",225.817007374559,249.000419914285,8.49397752978724,232.330653267989,265.638879798324,267.127242730875,263.43936093665
"Skeena","SockeyeLake",223.785102771318,255.428265464532,8.79600571372607,238.191434045838,272.672186548301,273.040319840597,271.859444818431
"Skeena","SockeyeRiver",229.81924194005,252.77953380836,8.76218636753683,235.618429443502,269.94040528593,273.215731962657,264.869849132994
"Transboundary","Chinook",159.760223567972,230.133979811596,19.9454628695395,186.934505247529,273.231388493643,294.78790007186,253.251481681182
"Transboundary","Chum",NA,NA,NA,NA,NA,NA,NA
"Transboundary","Coho",183.125276287768,229.783813406767,19.9418691880001,186.834645405416,273.049669515136,293.89380213153,253.083134998463
"Transboundary","Pink",NA,NA,NA,NA,NA,NA,NA
"Transboundary","SockeyeLake",235.481031716177,229.649210312908,20.0615961533211,186.775771497187,272.995561191998,294.366632820684,256.323816320749
"Transboundary","SockeyeRiver",202.997716202713,230.426752834815,20.0872035787839,187.310128719025,273.431337062257,294.665599819466,262.558428949939
"Vancouver Island & Mainland Inlets","Chinook",236.359151229425,275.036438154117,10.6813962298771,254.107801162198,295.954386062107,296.632494124668,295.644390327188
"Vancouver Island & Mainland Inlets","Chum",270.920173183705,297.393296347553,10.8719292215285,276.070840640056,318.697193660491,319.798631559703,316.120749413602
"Vancouver Island & Mainland Inlets","Coho",267.551239338872,302.432415853021,14.1380622837541,274.717720441025,330.151932592387,331.535333760258,327.414091953353
"Vancouver Island & Mainland Inlets","Pink",235.652725209391,261.912281542503,9.5570313304633,243.192442693548,280.663420912054,281.46179457871,278.594528568143
"Vancouver Island & Mainland Inlets","SockeyeLake",198.683322775106,261.483793178716,10.9675885231619,239.982423816569,282.982481077648,283.227362383662,282.297254509082
"Vancouver Island & Mainland Inlets","SockeyeRiver",243.127154320227,265.495908594628,10.2009707978426,245.476712803604,285.513645591761,287.715455373127,282.231615407773
"Yukon","Chinook",226.667548249483,229.950712144098,19.8615075092873,186.871645723317,272.817981499357,294.9024243962,265.323036677115
"Yukon","Chum",239.967148102681,229.843448916236,19.9494897576069,186.506940782356,273.086840069645,295.749333259695,262.035453585304
"Yukon","Coho",NA,NA,NA,NA,NA,NA,NA
"Yukon","Pink",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeLake",NA,NA,NA,NA,NA,NA,NA
"Yukon","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
