"region","species","arrival_50","mu_spawn_50","sd_spawn_50","start_spawn_50","end_spawn_50","end_spawn_mean","end_spawn_mode"
"Central Coast","Chinook",193.823548581173,255.181229695236,12.3126703733067,231.048792909785,279.302977909777,280.815389476953,277.158916952325
"Central Coast","Chum",237.86139757105,266.675931626023,11.192997690419,244.725330295382,288.615256070576,289.742071691883,285.908157334622
"Central Coast","Coho",248.866908987732,290.588907545927,12.9490792297802,265.228354795089,315.95365714418,317.489423083728,312.44015114073
"Central Coast","Pink",230.997855614333,254.199384886491,10.0156660870665,234.575811809084,273.808849392605,275.873376320857,270.325772882259
"Central Coast","SockeyeLake",198.298978758202,251.803395425124,9.074367381379,234.020392543725,269.601370176659,269.702939357267,269.672536066257
"Central Coast","SockeyeRiver",225.97543223476,264.882575315424,9.70484719761194,245.825184582981,283.918050870306,286.716250819103,279.20096253966
"Columbia","Chinook",NA,NA,NA,NA,NA,NA,NA
"Columbia","Chum",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink",NA,NA,NA,NA,NA,NA,NA
"Columbia","SockeyeLake",253.428918635752,295.4162141989,15.3801616195393,265.297252117148,325.542039629975,333.952355868815,311.672145478819
"Columbia","SockeyeRiver",NA,NA,NA,NA,NA,NA,NA
"Fraser","Chinook",227.048715779504,262.734877871324,10.5504099416728,242.05916146638,283.399149767671,283.862491020134,282.468139357704
"Fraser","Chum",283.516456168636,307.430444662214,14.423791728872,279.231887950221,335.662381714119,340.850606422389,326.61460086774
"Fraser","Coho",289.578292635769,322.520168849597,12.4308610954063,298.119183767338,346.899387102776,348.32181906208,343.482210267025
"Fraser","Pink",266.748625427221,287.156392420413,12.5349341718439,262.529331898975,311.678664386046,318.184146358362,303.277625815368
"Fraser","SockeyeLake",239.284261221712,263.067074122017,7.63909131925328,248.089277862433,278.053603018014,278.395111115621,278.047228781012
"Fraser","SockeyeRiver",273.075413136535,284.430222168961,12.6231163947973,259.669332855404,309.158296729834,315.893583702216,301.143142323268
"Haida Gwaii","Chinook",223.728033549233,256.704771588846,10.7759273020419,235.535906844268,277.780938386954,280.53737709361,272.859325748461
"Haida Gwaii","Chum",255.336291937094,275.902107454497,8.85693582096314,258.531214071008,293.252495468338,294.875588068392,291.504735675962
"Haida Gwaii","Coho",261.839850021514,291.253033048361,11.1411346961024,269.382846610263,313.081873726344,316.13818891872,306.560951411199
"Haida Gwaii","Pink",238.154979716629,259.277354194052,8.239432676692,243.146975476659,275.416582315931,276.543532317378,273.416477549947
"Haida Gwaii","SockeyeLake",151.91615066115,254.310218058112,8.34361652532517,237.946842842024,270.69854716742,271.553512560848,268.787109781148
"Haida Gwaii","SockeyeRiver",236.307824527869,247.955146192703,7.71784196873647,232.800192708294,263.124001149625,265.162398408003,259.833696064867
"Nass","Chinook",196.476716515966,234.282411697999,12.3703320822291,209.99223117855,258.549429479856,262.919251912305,250.47447849532
"Nass","Chum",221.46553010421,245.227717833721,10.8807564029071,223.878715059471,266.597767492929,269.405818945942,264.654251188743
"Nass","Coho",251.031908812839,292.73003737912,13.6951705105033,265.840367513112,319.579841707049,323.338760419929,314.521062952391
"Nass","Pink",228.72316956469,246.939263236139,7.6132899276187,232.008464238286,261.841409913007,263.922628570525,257.808195016954
"Nass","SockeyeLake",209.818661204529,241.377094375334,12.1639464018618,217.511609043091,265.193467260812,266.923549166812,260.742205962865
"Nass","SockeyeRiver",224.967005862231,246.021400274013,11.448512066832,223.63604702747,268.506488833201,272.582216039114,260.23820975096
"Skeena","Chinook",216.137558403262,245.92053510545,8.21938780179496,229.807596545218,262.021175716783,262.655795250709,261.795776352433
"Skeena","Chum",232.163310176883,252.322071174348,9.46145326583336,233.776709696911,270.923009041059,273.520357684014,267.590906512813
"Skeena","Coho",262.689784342523,295.771466556178,10.8187329550637,274.567806043988,316.971976389746,319.276748417,313.436080351556
"Skeena","Pink",225.825568096097,248.994576476797,8.51909333418072,232.332757563667,265.724262383889,267.10497562731,263.620597351606
"Skeena","SockeyeLake",223.78281878857,255.430490347493,8.81517335086229,238.154431648987,272.716340985475,273.047882036088,271.208559454556
"Skeena","SockeyeRiver",229.811651299577,252.775805176235,8.72032969104265,235.633765819934,269.82525189422,272.887750454039,265.476771568774
"Transboundary","Chinook",159.750686159002,229.886904980541,19.842994030914,186.531642591224,273.313401478453,295.059952362317,251.10147186603
"Transboundary","Chum",NA,NA,NA,NA,NA,NA,NA
"Transboundary","Coho",183.122115773389,229.930666159711,19.4764910801375,187.729116473577,272.400614507024,292.7327620834,257.497839269399
"Transboundary","Pink",NA,NA,NA,NA,NA,NA,NA
"Transboundary","SockeyeLake",235.484219441832,230.117889140691,19.9809357290208,187.053934759867,273.338965950388,294.609853253015,255.607142347326
"Transboundary","SockeyeRiver",202.995862373943,229.918199306371,19.9504820137381,187.185051374012,272.9491156283,295.377948668023,264.149469629125
"Vancouver Island & Mainland Inlets","Chinook",236.37090041781,275.053773435627,10.6422443637998,254.203433093311,295.898210994314,296.554781331283,294.171325602094
"Vancouver Island & Mainland Inlets","Chum",270.916468745591,297.383958472411,10.883700186561,276.069756745791,318.741966042328,319.813520323055,316.40772506241
"Vancouver Island & Mainland Inlets","Coho",267.550165550394,302.445277126437,14.1801597992193,274.622146846376,330.228700190885,331.562767345892,327.305097410664
"Vancouver Island & Mainland Inlets","Pink",235.664009872286,261.917475516692,9.64718867577011,243.000030870771,280.80531425407,281.692609787214,278.831940212957
"Vancouver Island & Mainland Inlets","SockeyeLake",198.898426791695,266.478588945952,11.0654748689293,244.801451739039,288.159792357005,288.455965572365,287.881422028699
